GEOID,ej
06073008331,0
06073008336,0
06073008337,0
06073011601,1
06073011602,1
06073011700,1
06073011801,1
06073013307,0
06073013308,0
06073013309,0
06073013312,1
06073008343,0
06073008344,0
06073008345,0
06073013401,0
06073013409,0
06073015601,1
06073015701,1
06073008348,0
06073008349,1
06073008351,1
06073008352,0
06073008353,0
06073015801,1
06073015901,1
06073015902,1
06073016000,1
06073008355,0
06073008356,1
06073008357,1
06073008358,1
06073008359,1
06073016401,0
06073016100,0
06073016202,1
06073016301,1
06073016302,1
06073003209,1
06073003211,0
06073003212,0
06073003213,0
06073008360,1
06073008502,0
06073008504,0
06073008505,0
06073016502,1
06073017104,0
06073017107,0
06073003214,0
06073003301,0
06073003303,1
06073003403,1
06073008506,0
06073008507,1
06073008509,0
06073008510,1
06073008512,0
06073017108,0
06073017303,0
06073003404,1
06073003501,0
06073003502,1
06073003602,1
06073003603,1
06073008513,0
06073008600,0
06073008701,0
06073008702,0
06073017305,0
06073018621,0
06073009108,0
06073017069,0
06073003800,0
06073003901,1
06073003902,1
06073004000,1
06073008800,1
06073008901,0
06073018201,0
06073018101,0
06073017202,0
06073018302,0
06073017068,0
06073013325,0
06073013318,0
06073013317,0
06073015407,1
06073008367,0
06073010017,0
06073007304,0
06073005602,0
06073001301,0
06073021306,0
06073013319,0
06073013324,0
06073009000,0
06073009101,0
06073008368,0
06073017057,0
06073021502,0
06073008371,0
06073008373,0
06073017201,0
06073007911,1
06073007601,0
06073008201,0
06073020035,0
06073020032,0
06073020033,0
06073020030,0
06073008377,1
06073008379,1
06073018202,0
06073018616,0
06073018102,0
06073005102,1
06073005101,1
06073017901,0
06073022102,0
06073017070,0
06073008380,0
06073018301,0
06073017902,0
06073007912,0
06073007602,0
06073013327,0
06073017606,0
06073017605,0
06073010018,0
06073013321,0
06073020038,0
06073005103,1
06073020712,0
06073005401,1
06073000301,0
06073000302,0
06073001801,1
06073015002,1
06073015001,0
06073014701,0
06073014702,1
06073010201,0
06073020711,0
06073010202,0
06073009307,0
06073021002,1
06073009203,0
06073009204,0
06073009308,0
06073007401,0
06073007303,0
06073021401,0
06073021501,0
06073005601,1
06073005403,1
06073005402,0
06073005301,1
06073005802,0
06073005801,1
06073005201,1
06073004102,0
06073000902,1
06073004101,1
06073005202,1
06073001202,0
06073000901,1
06073019109,0
06073017111,0
06073017059,0
06073021402,0
06073020042,0
06073017112,0
06073020031,0
06073017113,0
