GEOID,CDC_HHI,zip_count
06073000100,-0.06844737576091299,2.0
06073000201,-0.06587499861708487,1.0
06073000202,-0.06817101652175644,2.0
06073000301,-0.06587499891894902,1.0
06073000302,-0.06587499947747419,1.0
06073000400,-0.06587499942992059,1.0
06073000500,-0.08314999911991322,1.0
06073000600,-0.006837647410543259,3.0
06073000700,-0.06587499941990456,1.0
06073000800,-0.06253750495529767,2.0
06073000901,-0.06157499924671881,1.0
06073000902,-0.0641440079772293,2.0
06073001000,-0.07766001895840303,4.0
06073001100,-0.08314999921248331,2.0
06073001201,-0.07817007714980903,2.0
06073001202,-0.07670316131378689,2.0
06073001301,-0.06157499914573841,1.0
06073001302,-0.06157499929289308,1.0
06073001400,-0.06157499916160003,1.0
06073001500,-0.06157499935468193,1.0
06073001600,-0.06157499939402456,1.0
06073001700,-0.07995061397706442,2.0
06073001801,-0.08314999855020316,1.0
06073001802,-0.007886166950903734,2.0
06073001900,-0.08314999901722712,2.0
06073002001,-0.08400048697970522,2.0
06073002002,-0.10244999786274597,1.0
06073002100,-0.08354572157017603,3.0
06073002201,-0.07799606619110602,2.0
06073002202,-0.08709999899746934,1.0
06073002301,-0.10241042530291483,3.0
06073002302,-0.09317039586207937,2.0
06073002401,-0.06913316099562099,2.0
06073002402,-0.005628935902705256,2.0
06073002501,-0.08412840037642096,2.0
06073002502,-0.08709999904846177,1.0
06073002601,-0.08709999887329224,1.0
06073002602,-0.08709999845560308,1.0
06073002702,-0.09969991635410642,2.0
06073002703,-0.009180863776544725,3.0
06073002705,-0.08709999853219418,1.0
06073002707,-0.09525707261745062,2.0
06073002708,-0.09895564302079503,2.0
06073002709,-0.08709999830512337,1.0
06073002710,-0.08709999844348065,1.0
06073002711,-0.09374664757059038,2.0
06073002712,-0.08833695219814154,2.0
06073002801,-0.10244999844634083,2.0
06073002803,-0.10244999905935698,1.0
06073002804,-0.10244999864455778,1.0
06073002902,-0.00987481537094063,3.0
06073002903,-0.10244999819941607,1.0
06073002904,-0.10958046892422295,2.0
06073002905,-0.10669431849453677,3.0
06073003001,-0.10067499848693964,1.0
06073003003,-0.10067499891122607,2.0
06073003004,-0.10067499863339957,1.0
06073003101,-0.10067499826080292,1.0
06073003103,-0.10067499885709905,1.0
06073003105,-0.10067499825606395,1.0
06073003107,-0.10201124976819692,2.0
06073003108,-0.10684999788798487,1.0
06073003109,-0.10037965584477218,2.0
06073003111,-0.009321227035028329,2.0
06073003112,-0.10067499856174263,1.0
06073003113,-0.10053833783539343,2.0
06073003114,-0.10067499760290442,1.0
06073003115,-0.10029225067611737,2.0
06073003201,-0.09757499929472559,1.0
06073003202,-0.010771111598650216,2.0
06073003204,-0.08537014417858486,3.0
06073003207,-0.09017499974798482,1.0
06073003208,-0.09757499953786045,1.0
06073003209,-0.09757499939747025,1.0
06073003211,-0.09757499879833312,1.0
06073003212,-0.09757499908718545,1.0
06073003213,-0.0975749990263867,1.0
06073003214,-0.10152994559571132,2.0
06073003301,-0.06158181984917608,2.0
06073003303,-0.06157499923846591,1.0
06073003304,-0.06835058808645003,3.0
06073003305,-0.061752528829682664,2.0
06073003401,-0.07464281120214325,2.0
06073003403,-0.06414999904611991,1.0
06073003404,-0.06501951545636589,2.0
06073003501,-0.06225324096705594,2.0
06073003502,-0.06157499932175871,1.0
06073003601,-0.06157499886339615,1.0
06073003602,-0.06157499899052459,1.0
06073003603,-0.061574999194026266,1.0
06073003800,0.0,2.0
06073003901,-0.061684369302329685,2.0
06073003902,-0.06157499933945196,1.0
06073004000,-0.06412873799728497,2.0
06073004101,-0.06414999956873058,1.0
06073004102,-0.06414999881268986,1.0
06073004200,-0.06243413945895086,2.0
06073004300,-0.061574999173006836,1.0
06073004400,-0.06350239825406342,2.0
06073004501,-0.0641499992768348,1.0
06073004600,-0.06414999914813102,1.0
06073004700,-0.0641423038334915,2.0
06073004800,-0.06408601267076759,2.0
06073004900,-0.006352591319195263,2.0
06073005000,-0.06157499914327416,1.0
06073005101,-0.06059999927479695,1.0
06073005102,-0.06059999939833312,1.0
06073005103,-0.06122596405385413,2.0
06073005201,-0.060599999287440594,1.0
06073005202,-0.0605999994354364,1.0
06073005301,-0.004870841749641774,2.0
06073005302,-0.060599998815964416,1.0
06073005401,-0.0605999982188788,1.0
06073005402,-0.06059999933984978,2.0
06073005403,-0.06059999874037381,1.0
06073005500,0.0,2.0
06073005601,-0.06059999911665735,1.0
06073005602,-0.060653081754119,5.0
06073005700,-0.060599997724909815,1.0
06073005801,-0.06059999830086061,1.0
06073005802,-0.060599998838792093,1.0
06073005900,-0.06059999906160689,1.0
06073006000,-0.06563573728212524,2.0
06073006100,-0.06579893037520171,2.0
06073006200,-0.06059771134563789,2.0
06073006300,-0.026574999973424985,2.0
06073006500,-0.08016935591964015,3.0
06073006600,-0.0029997109812151673,3.0
06073006801,-0.07291328999994998,2.0
06073006802,-0.0775157411117049,3.0
06073006900,-0.06841720913989117,3.0
06073007002,-0.06638547150905626,2.0
06073007100,-0.014927912945570875,4.0
06073007200,-0.06578274786310433,2.0
06073007302,-0.06494999893073328,1.0
06073007303,-0.06494999908319135,1.0
06073007304,-0.06494999953600811,1.0
06073007401,-0.06594862562654824,2.0
06073007402,-0.06494999945370414,1.0
06073007501,-0.06494999960577988,1.0
06073007502,-0.0073825570075513125,2.0
06073007601,-0.07452499896197064,1.0
06073007602,-0.07452499884443654,1.0
06073007701,-0.07452499926010106,1.0
06073007702,-0.07452499927451468,1.0
06073007800,-0.07452499928718265,1.0
06073007905,-0.004215974426335194,2.0
06073007907,-0.07452499882525176,1.0
06073007908,-0.07452499870325593,1.0
06073007910,-0.07452499883874725,1.0
06073007911,-0.07452499900339435,1.0
06073007912,-0.0745249980649316,1.0
06073008002,-0.0745249981313644,1.0
06073008003,-0.0745249988827526,1.0
06073008006,-0.0756954572700532,2.0
06073008101,-0.07709999932845334,1.0
06073008102,-0.07709999897119386,1.0
06073008201,-0.004572601826665815,2.0
06073008202,-0.0770999986413281,1.0
06073008301,-0.07578271052134802,2.0
06073008303,-0.07709999910533717,1.0
06073008305,-0.0025481520182661604,4.0
06073008306,-0.10092499807078935,1.0
06073008307,-0.019705019006852897,2.0
06073008310,-0.07682304495258482,2.0
06073008311,-0.07709999864357571,1.0
06073008312,-0.006916100310403766,2.0
06073008313,-0.07709999822903137,1.0
06073008324,-0.08292524888828395,2.0
06073008327,-0.08114999924681157,2.0
06073008328,-0.08114813723005994,2.0
06073008330,-0.08114999909780972,1.0
06073008331,-0.08114999789323153,1.0
06073008336,-0.1378999967419088,1.0
06073008337,-0.13789999795371555,1.0
06073008339,-0.11594999975635989,4.0
06073008343,-0.10092499885907899,1.0
06073008344,-0.1009249981906253,1.0
06073008345,-0.10092499885520397,1.0
06073008346,-0.04162630111552329,3.0
06073008347,-0.1338999982476433,1.0
06073008348,-0.1338999979161677,1.0
06073008349,-0.13389999655803886,1.0
06073008350,-0.13389999897365973,2.0
06073008351,-0.13389999734484076,1.0
06073008352,-0.13389999716050915,1.0
06073008353,-0.13408447297736872,2.0
06073008355,-0.13389999616682893,1.0
06073008356,-0.1338999973792293,1.0
06073008357,-0.1338999977019303,1.0
06073008358,-0.009738181809151869,2.0
06073008359,-0.13389999824203447,1.0
06073008360,-0.1338999982579653,1.0
06073008361,-0.0053154957271586475,2.0
06073008362,-0.07709999904600524,1.0
06073008363,-0.10092499897816169,1.0
06073008364,-0.10092499920771503,1.0
06073008365,-0.13789999715840706,1.0
06073008366,-0.137899998998057,1.0
06073008367,-0.11935555985853305,2.0
06073008368,-0.1378999988689597,1.0
06073008369,-0.08114999865244076,2.0
06073008370,-0.08114999901857267,1.0
06073008371,-0.08114999891981965,1.0
06073008372,-0.08114999871755771,1.0
06073008373,-0.08114999864767232,1.0
06073008374,-0.08114999857930184,1.0
06073008375,-0.1009249992585089,1.0
06073008376,-0.10092499920127805,1.0
06073008377,-0.10092499834193631,1.0
06073008378,-0.07709999824420026,1.0
06073008379,-0.012029553487933109,2.0
06073008380,-0.13522326077202332,2.0
06073008381,-0.13389999604050404,1.0
06073008501,-0.0860709273833057,2.0
06073008502,-0.00861698077795121,2.0
06073008503,-0.08607499935041793,2.0
06073008504,-0.08607499936155737,1.0
06073008505,-0.08607499915649561,1.0
06073008506,-0.08607499880281944,1.0
06073008507,-0.08607499936348362,2.0
06073008509,-0.08607499941647465,1.0
06073008510,-0.08607499949299084,1.0
06073008511,-0.0862449532232526,3.0
06073008512,-0.08607499900759992,2.0
06073008513,-0.08607499853160788,1.0
06073008600,-0.08607499932481522,1.0
06073008701,-0.08607499861747878,1.0
06073008702,-0.08630263995969302,2.0
06073008800,-0.08607499928791829,1.0
06073008901,-0.012381337416663836,3.0
06073008902,-0.08843934484701126,2.0
06073009000,-0.08607499879469926,1.0
06073009101,-0.08607499920221497,1.0
06073009102,-0.08516218653595045,2.0
06073009103,-0.08080413752315559,2.0
06073009104,-0.08024999900596116,1.0
06073009107,-0.08085859841448846,3.0
06073009108,-0.08024999908393983,1.0
06073009109,-0.08059378940116889,2.0
06073009201,-0.08629999956800552,1.0
06073009203,-0.09160427654210578,2.0
06073009204,-0.0075989629769615315,3.0
06073009301,-0.08629999942831061,1.0
06073009305,-0.08950716934118019,2.0
06073009306,-0.08629999952440533,1.0
06073009307,-0.016045786724267534,2.0
06073009308,-0.09227499933376407,1.0
06073009400,-0.13389999270461012,6.0
06073009502,-0.016511349292106164,2.0
06073009504,-0.14413146658162132,3.0
06073009505,-0.1248922418979052,3.0
06073009506,-0.12469999906802366,1.0
06073009507,-0.12413277990868539,2.0
06073009509,-0.12401207225324935,2.0
06073009510,-0.12469999879634858,1.0
06073009511,-0.1246999985151108,1.0
06073009602,-0.1208499991749092,1.0
06073009603,-0.10009504281162429,2.0
06073009604,-0.017587744796818367,2.0
06073009703,-0.12084999860533038,1.0
06073009704,-0.12110224598651995,3.0
06073009705,-0.12084999877096393,1.0
06073009706,-0.12252916675971474,3.0
06073009801,-0.12469999949703041,1.0
06073009802,-0.024851451045244756,2.0
06073009804,-0.12469999930186842,1.0
06073009805,-0.12469999940956743,1.0
06073009901,-0.06752495224860461,2.0
06073010001,-0.06972499855949296,2.0
06073010003,-0.0697249988221055,1.0
06073010004,-0.06972499840957595,1.0
06073010005,-0.08689999965012492,1.0
06073010009,-0.08689999957718487,2.0
06073010010,-0.06972499902311363,1.0
06073010011,-0.06972499813040578,1.0
06073010012,-0.08689999955506374,1.0
06073010013,-0.014808409582166454,2.0
06073010015,-0.07375203346877342,2.0
06073010016,-0.06972470709812628,2.0
06073010017,-0.005407234477518319,2.0
06073010018,-0.0697249991389424,1.0
06073010019,-0.06972499842666197,3.0
06073010103,-0.06996024689699562,3.0
06073010104,-0.06972499831825973,1.0
06073010106,-0.07820252082916626,2.0
06073010107,-0.06972499909271111,1.0
06073010109,-0.06972499860078138,1.0
06073010110,-0.06972499923723152,1.0
06073010111,-0.08689999883610765,1.0
06073010112,-0.06972499880933701,1.0
06073010201,-0.06132499957469862,1.0
06073010202,-0.06132499960157938,1.0
06073010300,-0.0613249996210261,1.0
06073010401,-0.061324999265656106,1.0
06073010402,-0.06137678656493681,2.0
06073010501,-0.06132499894764274,1.0
06073010502,-0.010435690583618948,2.0
06073010601,-0.06030798195905259,2.0
06073010800,-0.06029999953541375,1.0
06073010900,-0.06029999928272415,1.0
06073011000,-0.06029999962915119,1.0
06073011100,-0.06029999968292927,1.0
06073011300,-0.06029998910803529,2.0
06073011601,-0.07224999923612012,1.0
06073011602,-0.07224999887855933,1.0
06073011700,-0.009591130231203043,2.0
06073011801,-0.07224999877318258,1.0
06073011802,-0.07220850932291435,2.0
06073011902,-0.07224999917500972,1.0
06073012002,-0.07224999892107034,1.0
06073012003,-0.07224999850983434,1.0
06073012101,-0.07224999802071182,1.0
06073012102,-0.07224999857403987,1.0
06073012200,-0.07224999877844789,1.0
06073012302,-0.07694999779566784,1.0
06073012303,-0.07694999851557116,1.0
06073012304,-0.07694999865530347,1.0
06073012401,-0.07694999842974766,2.0
06073012402,-0.0769499989791538,1.0
06073012501,-0.07694999850852643,1.0
06073012502,-0.07694999881469637,1.0
06073012600,-0.07696145729188532,2.0
06073012700,-0.07694999891682741,1.0
06073012800,-0.07694999857333104,1.0
06073012900,-0.07696749910813551,2.0
06073013000,-0.005134512120229137,3.0
06073013102,-0.07699999914454611,1.0
06073013103,-0.07699999760531775,1.0
06073013104,-0.07699999893406691,1.0
06073013203,-0.07699999905427403,1.0
06073013204,-0.07699999817148605,1.0
06073013205,-0.0769575319359477,2.0
06073013206,-0.07699999913137981,1.0
06073013301,-0.07699663377153831,2.0
06073013302,-0.07699999849447517,1.0
06073013303,-0.07699999864580873,1.0
06073013306,-0.07699999839000544,1.0
06073013307,-0.07699999812888625,1.0
06073013308,-0.07699999879505888,1.0
06073013309,-0.07699634349183107,2.0
06073013312,-0.07699999759428235,1.0
06073013315,-0.12469999867607398,1.0
06073013316,-0.12469999933656267,1.0
06073013317,-0.09176072645454378,2.0
06073013318,-0.09227499916552916,1.0
06073013319,-0.12469999965418695,1.0
06073013320,-0.1246999992189739,1.0
06073013321,-0.1246999993688912,1.0
06073013322,-0.09227499860610391,1.0
06073013323,-0.09227499895457793,1.0
06073013324,-0.0922749987480143,1.0
06073013325,-0.0922749989132473,1.0
06073013326,-0.08535758532373011,2.0
06073013327,-0.0808501986601994,2.0
06073013401,-0.07695003433615986,2.0
06073013409,-0.07694999884214551,1.0
06073013411,-0.09019336663223922,2.0
06073013412,-0.08392787611768357,2.0
06073013414,-0.07694999901215827,1.0
06073013415,-0.07694999597820212,1.0
