STATEFP10,STATE,STATE_ABV,ZCTA,GEOID10,MULTI_STATE,POP,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK,ZCTA5
06,CA,California,89010,0689010,1,415,-999,-999,0,22.2666666666667,0.9799,0.9799,0.9823,9,0.907,1,36.3,0.47,0,14.4,0.8473,1,11,0.8921,1,10.3,0.4679,0,17.3,0.6711,1,4,0.6667,0.7602,16.5,0.8885,41.8287937743191,0.9046,1.4,0.1621,16.4,0.7584,25.4794520547945,0.937,5.28455284552846,0.9001,15,0.5514,19.9052132701422,0.8675,28.6,0.886,4.3,0.3166,0.7172,0.9653,0.3666526906162,0.0761,3.8205836686,0.8168,3.8,0.4672,49.7,0.9822,38.0952380952381,0.8101,0.333333333333333,0.458,17,0.9931,0.6576,0.9062,0.9035,0.9969,89010
06,CA,California,89019,0689019,1,2673,20,0.5,0,20.8,0.9647,0.7324,0.7899,6.5,0.4567,0,30.7,0.1733,0,11.3,0.5201,0,7.6,0.4575,0,9.3,0.1494,0,15.5,0.4065,0,0,0,0,10.6,0.7176,23.1803430690774,0.57,7.9,0.8182,21.1,0.8616,21.4709371293001,0.8815,3.11264822134387,0.8377,10.5,0.2522,13.5211267605634,0.6417,17.5,0.4747,6.2,0.633,0.6688,0.9045,0.3900813011319,0.0845,0.3521935085,0.9469,15.6,0.9335,38.5,0.9513,33.1764705882353,0.7403,23.3333333333333,0.9905,3.33333333333333,0.9165,0.7948,0.9882,0.6706,0.8453,89019
06,CA,California,89060,0689060,1,10227,64,0.75,0,25.2,0.9962,0.8731,0.927,9.8,0.9553,1,40,0.7662,1,15.3,0.8948,1,12.2,0.9463,1,10.6,0.5818,0,18.4,0.7949,1,5,0.8333,0.8437,12,0.7712,30.2409638554217,0.7461,12.3,0.9316,14.7,0.7062,18.8690995142608,0.8079,1.80940892641737,0.7576,24,0.8941,15.6795617939062,0.7436,32.1,0.9211,3.7,0.2453,0.7525,0.9875,1.0902035661239,0.3266,1.21767278617,0.8974,3.8,0.4672,37.8,0.9481,21.1862396204033,0.4355,5.66666666666667,0.9529,3,0.9103,0.7054,0.9455,0.9259,0.9986,89060
06,CA,California,89061,0689061,1,5252,45,0.5,0,21.7,0.9732,0.7366,0.7938,8.2,0.8138,1,37.1,0.5357,0,12.8,0.7144,1,9.6,0.7675,1,10,0.3568,0,16.6,0.5704,0,3,0.5,0.6536,5.6,0.4152,16.2824675324675,0.3533,2.5,0.2531,12.9,0.6405,12.7635327635328,0.4373,0.467992645829851,0.5419,24.2,0.8977,9.57854406130268,0.4019,37.7,0.9539,2.9,0.1734,0.5068,0.5333,3.2892685319187,0.6006,0.01234178576,0.9873,3.8,0.4672,19.4,0.7755,15.8664666166542,0.2705,7.33333333333333,0.97,3,0.9103,0.7116,0.9495,0.7326,0.9108,89061
06,CA,California,89439,0689439,1,1417,89,1,0,23.2,0.9857,0.9928,0.9901,6.4,0.4347,0,26.5,0.0672,0,10,0.3272,0,7.1,0.3747,0,9.5,0.1987,0,14.1,0.2152,0,0,0,0,10.5,0.7133,7.00934579439252,0.0909,3.7,0.4104,7.9,0.3908,14.900947459087,0.5912,0,0,13.1,0.4271,12.8508124076809,0.6048,27.7,0.8739,1.5,0.1062,0.4209,0.3188,7.0917443039263,0.6964,15.1234159259,0.6138,0,0,20.1,0.7862,19.9367088607595,0.3966,8,0.974,11.3333333333333,0.9817,0.6355,0.8826,0.5479,0.6564,89439
06,CA,California,90001,0690001,0,57110,-999,-999,0,18.5555555555556,0.9197,0.9197,0.951,4.7,0.1251,0,37.2,0.5442,0,14.4,0.8473,1,5.9,0.202,0,11.3,0.7987,1,20.9,0.944,1,3,0.5,0.6536,15.9,0.8777,44.0622591562511,0.9215,8.7,0.8521,52.8,0.9941,4.28718501813903,0.0397,26.8844083569017,0.9943,8.1,0.1158,14.4412630560148,0.6882,6.9,0.0438,8.4,0.8831,0.641,0.8528,79.3363299702463,0.9929,1.38856916055,0.8901,10.3,0.8563,0.3,0.1681,64.1231984783086,0.9589,4,0.9177,6.66666666666667,0.9546,0.8198,0.9944,0.863,0.9892,90001
06,CA,California,90002,0690002,0,51223,-999,-999,0,19,0.9323,0.9323,0.9586,4.8,0.1385,0,38,0.6132,0,14.8,0.8702,1,6.4,0.2664,0,12,0.9124,1,21.6,0.9619,1,3,0.5,0.6536,15.9,0.8777,46.5837688925788,0.9373,9.7,0.8831,50.8,0.9928,6.01886634944486,0.073,21.1609020076679,0.9888,8.9,0.1573,11.912562961514,0.549,6.3,0.0377,9,0.9126,0.6409,0.8525,67.30885716070961,0.9799,2.67022242397,0.848,15.2,0.9302,1.3,0.2597,65.0305798560037,0.9613,3,0.8837,7,0.9583,0.8316,0.9963,0.8652,0.9899,90002
06,CA,California,90003,0690003,0,66266,-999,-999,0,18.5806451612903,0.92,0.92,0.951,4.7,0.1251,0,38.5,0.6554,0,14.7,0.8647,1,6.4,0.2664,0,11.9,0.9011,1,21.7,0.9637,1,3,0.5,0.6536,16.8,0.894,48.1659692215422,0.9446,9,0.8618,47.9,0.9907,5.18093096108277,0.0542,24.5652238761447,0.9924,9.7,0.2023,12.0647474781326,0.5584,6.2,0.0369,9.1,0.9167,0.6452,0.8608,75.8887747265765,0.9902,1.17819747529,0.8994,17.2,0.9452,0.3,0.1681,71.6998398535804,0.9736,3.33333333333333,0.8955,6.66666666666667,0.9546,0.8324,0.9964,0.8654,0.9899,90003
06,CA,California,90004,0690004,0,62180,-999,-999,0,16.2,0.7638,0.7638,0.8303,3.8,0.0462,0,27.2,0.0803,0,11.7,0.5779,0,4.2,0.0489,0,9,0.096,0,15.7,0.4363,0,0,0,0,17.3,0.9016,31.2602481077231,0.7663,4.6,0.5327,25.5,0.9179,13.7592700608283,0.512,23.6444304152637,0.9915,6.4,0.0588,9.31636189793235,0.3844,10.8,0.122,5.8,0.5645,0.5752,0.7081,66.1311620773835,0.9781,4.24386625585,0.8074,16.8,0.9427,0.3,0.1681,83.407562261407,0.9857,9.33333333333333,0.9796,5.33333333333333,0.9402,0.8288,0.9958,0.6336,0.7967,90004
06,CA,California,90005,0690005,0,37681,-999,-999,0,17.7727272727273,0.8881,0.8881,0.9347,4.1,0.0651,0,27,0.0758,0,13.1,0.7454,1,4.5,0.0672,0,9,0.096,0,16.2,0.5096,0,1,0.1667,0.3497,23.3,0.959,40.6560359859493,0.8954,5.6,0.6484,29.6,0.9476,20.6402721930096,0.8631,34.0216898931493,0.9977,9,0.163,8.13460398522639,0.3127,12.7,0.1934,5.5,0.51,0.649,0.8686,78.8713026924005,0.9926,2.86996805112,0.8415,29.8,0.9798,0.2,0.1491,92.2591025564627,0.9907,6,0.9573,5.33333333333333,0.9402,0.8359,0.9969,0.7875,0.9541,90005
06,CA,California,90006,0690006,0,59185,-999,-999,0,18,0.8989,0.8989,0.9391,4.9,0.1522,0,32.3,0.234,0,15.3,0.8948,1,5.6,0.1678,0,9.9,0.3207,0,18.5,0.8042,1,2,0.3333,0.5404,26.2,0.9722,46.8999677698427,0.9388,7,0.7668,41.6,0.9837,10.4769904071438,0.2745,37.8862397091842,0.9986,7.9,0.1069,9.9861348466772,0.4269,11,0.1291,5.8,0.5645,0.6162,0.8017,81.796230657775,0.9947,0.64535410252,0.9265,25,0.9714,0.2,0.1491,90.9603351088587,0.9902,6,0.9573,5.33333333333333,0.9402,0.8471,0.9981,0.8198,0.9714,90006
