STATEFP10,STATE,STATE_ABV,ZCTA,GEOID10,MULTI_STATE,POP,PR_HRI,F_HRI,LOW_EMS,P_NEHD,PR_NEHD,HHB_SCORE,HHB_RANK,P_CHD,PR_CHD,F_CHD,P_OBS,PR_OBS,F_OBS,P_DIABETES,PR_DIABETES,F_DIABETES,P_COPD,PR_COPD,F_COPD,P_ASTHMA,PR_ASTHMA,F_ASTHMA,P_MNTHL,PR_MNTHL,F_MNTHL,F_SEN_COUNT,SEN_SCORE,SEN_RANK,P_UNINSUR,PR_UNINSUR,P_POV,PR_POV,P_UNEMP,PR_UNEMP,P_NOHSDP,PR_NOHSDP,P_ISO,PR_ISO,P_ELP,PR_ELP,P_DISABL,PR_DISABL,P_ODW,PR_ODW,P_AGE65,PR_AGE65,P_AGE5,PR_AGE5,SOCIODEM_SCORE,SOCIODEM_RANK,P_IMPERV,PR_IMPERV,P_TREEC,PR_TREEC,P_NOVEH,PR_NOVEH,P_MOBILE,PR_MOBILE,P_RENT,PR_RENT,P_OZONE,PR_OZONE,P_PM25,PR_PM25,NBE_SCORE,NBE_RANK,OVERALL_SCORE,OVERALL_RANK,ZCTA5
06,CA,California,91901,0691901,0,17403,67,0.75,0,14.6666666666667,0.6287,0.6894,0.7335,5.1,0.1812,0,24.3,0.0344,0,9.2,0.2209,0,5.6,0.1678,0,9.8,0.2874,0,15.4,0.3925,0,0,0,0,4.9,0.3565,12.3291523707745,0.2322,5.1,0.5944,5.7,0.2551,11.7972618700845,0.3656,1.19491274770778,0.6885,11,0.2852,11.6125356125356,0.5291,17.5,0.4747,6.9,0.7425,0.4524,0.3948,2.5037462152018,0.5545,13.1222849998,0.6449,3,0.381,6.3,0.4712,28.3386075949367,0.6382,7.33333333333333,0.97,0.666666666666667,0.797,0.6367,0.8841,0.5031,0.5707,91901
06,CA,California,91902,0691902,0,17653,20,0.5,1,15.84,0.7416,0.6208,0.6393,5.2,0.1959,0,23,0.0217,0,10.6,0.4152,0,4.7,0.0817,0,8.8,0.0706,0,13.2,0.1217,0,0,0,0,4.5,0.3227,10.4544246611746,0.1783,7.1,0.7734,9.1,0.4605,7.59123137969167,0.1247,5.07600133141019,0.8954,11,0.2852,5.80559548822294,0.1842,20.3,0.6454,4.6,0.3594,0.4229,0.3238,32.3588448766873,0.8698,9.10913862303,0.7113,1.9,0.2635,0.3,0.1681,25.5492676431425,0.5663,2.33333333333333,0.8528,1.66666666666667,0.8824,0.6163,0.8594,0.4556,0.475,91902
06,CA,California,91905,0691905,0,1700,98,1,0,13.8733333333333,0.5699,0.785,0.8514,8,0.7815,1,29.5,0.1356,0,14.4,0.8473,1,9.5,0.7561,1,10.7,0.6183,0,17.9,0.7441,1,4,0.6667,0.7602,5.1,0.3748,25.2577319587629,0.6273,19.6,0.9775,9.7,0.4927,12.2564935064935,0.3991,0.344589937973811,0.5036,33,0.9675,18.6991869918699,0.8399,27.9,0.877,1.4,0.1031,0.6162,0.8017,0.4442344719931,0.1023,2.68373551207,0.8476,0.3,0.1442,5.5,0.4446,44.4444444444444,0.8716,2,0.8311,0,0,0.4631,0.5595,0.7432,0.9195,91905
06,CA,California,91906,0691906,0,3627,96,1,0,15.3285714285714,0.6924,0.8462,0.9042,7,0.5757,0,29.2,0.1269,0,12.9,0.7251,1,8.7,0.6428,0,11,0.719,1,19,0.8449,1,3,0.5,0.6536,9.2,0.6524,39.9526627218935,0.8883,8.7,0.8521,28,0.938,8.85596140592695,0.1811,11.5268709191361,0.9615,15.4,0.5765,22.4969097651421,0.9071,11.1,0.1322,10.1,0.9454,0.7035,0.9528,0.4928213143516,0.1187,7.28844656955,0.7439,3.4,0.4265,7.9,0.5235,32.418001525553,0.727,2,0.8311,0,0,0.4815,0.6071,0.7794,0.9477,91906
06,CA,California,91910,0691910,0,75802,40,0.5,1,16.7904761904762,0.8155,0.6578,0.6922,5.1,0.1812,0,25.8,0.0557,0,11.6,0.564,0,5.1,0.1156,0,9.5,0.1987,0,15.9,0.4655,0,0,0,0,8.2,0.5998,21.860194385034,0.5296,9.4,0.875,19.6,0.8327,10.232598810773,0.2579,11.0806723168678,0.9594,11,0.2852,9.84589537106773,0.4193,14.8,0.3039,6.4,0.6659,0.5729,0.7024,54.64702582150039,0.952,7.04202775418,0.7494,6.7,0.7099,4.7,0.414,50.753748696977,0.9106,1,0.6973,2,0.8893,0.7604,0.9749,0.5924,0.7338,91910
06,CA,California,91911,0691911,0,82999,20,0.5,1,16.7578947368421,0.8145,0.6572,0.692,5.2,0.1959,0,27,0.0758,0,12.3,0.6561,0,5.1,0.1156,0,9.7,0.256,0,16.5,0.5552,0,0,0,0,9.3,0.6576,22.3675212649815,0.5446,12.2,0.9304,27,0.9309,6.69768619630931,0.0934,13.204165351846,0.9684,11.3,0.3049,11.8225426019664,0.543,13.6,0.2378,5.7,0.5455,0.5756,0.7091,59.11469027320621,0.9635,3.28386192395,0.8309,5.7,0.6391,7.9,0.5235,48.6874088478367,0.8996,0.333333333333333,0.458,1.66666666666667,0.8824,0.7424,0.9663,0.5918,0.7327,91911
06,CA,California,91913,0691913,0,40971,20,0.5,1,15.8,0.7305,0.6153,0.6309,3,0.0198,0,22.1,0.0151,0,8.6,0.1542,0,3.1,0.014,0,8.6,0.0493,0,14.4,0.2541,0,0,0,0,7,0.5216,12.5323858168628,0.2378,7,0.7668,9,0.455,4.44821993976369,0.0418,5.82429995442024,0.9098,7.3,0.0843,4.075837300593,0.1155,8.9,0.0724,6.8,0.7284,0.3933,0.2558,38.2078027441713,0.8953,4.96633488467,0.7918,2.4,0.3173,2.6,0.3249,29.608901764551,0.6688,2.33333333333333,0.8528,1.66666666666667,0.8824,0.6762,0.9242,0.4527,0.4691,91913
06,CA,California,91914,0691914,0,15448,20,0.5,1,15.8,0.7305,0.6153,0.6309,2.9,0.0182,0,22,0.0143,0,8.2,0.1174,0,2.8,0.0103,0,8.4,0.0302,0,13.3,0.1304,0,0,0,0,5.6,0.4152,6.1510001156203,0.073,3.2,0.3395,6,0.2729,2.56556908244138,0.0259,4.63746779536253,0.886,8.3,0.1259,3.82733090726565,0.1081,9.3,0.0802,6.2,0.633,0.296,0.0896,28.8595007098849,0.8526,4.69224489796,0.7974,1.9,0.2635,1,0.2414,18.4159272884657,0.3495,3.33333333333333,0.8955,1.33333333333333,0.8668,0.6095,0.8512,0.3929,0.3468,91914
06,CA,California,91915,0691915,0,24659,20,0.5,1,14.3968253968254,0.6046,0.5523,0.5012,2.6,0.0149,0,21.9,0.0136,0,7.6,0.0743,0,2.6,0.0086,0,8.4,0.0302,0,13.9,0.1921,0,0,0,0,2.8,0.1787,8.53884831796959,0.127,7.2,0.7807,6,0.2729,2.93383807966962,0.028,3.97940681258904,0.8688,6.2,0.0541,4.62587790383576,0.1338,7.4,0.049,7.8,0.8407,0.3334,0.1425,27.9083800229823,0.8483,5.17216256054,0.7872,1.7,0.2412,0,0,27.8318634749742,0.6267,0.5,0.6086,1.66666666666667,0.8824,0.5706,0.7923,0.359,0.2835,91915
06,CA,California,91916,0691916,0,1622,97,1,0,16.5,0.7931,0.8966,0.9381,6,0.3488,0,25.2,0.0465,0,10.5,0.4004,0,6.9,0.3431,0,10,0.3568,0,15.7,0.4363,0,0,0,0,7.1,0.5289,13.9596602972399,0.2806,2.5,0.2531,4.4,0.1785,7.71789753825682,0.1302,1.49006622516556,0.7256,16.3,0.6296,12.7098321342926,0.597,22.9,0.7597,6.5,0.6827,0.4766,0.4555,0.3885130149388,0.0839,22.2253118776,0.5218,2.1,0.2854,1.3,0.2597,7.80780780780781,0.0874,5.66666666666667,0.9529,0,0,0.313,0.1763,0.3925,0.3461,91916
